"elevation_m","drainage_density_km_per_km2","storm_drain_proximity_m","historical_rainfall_intensity_mm_hr","return_period_years","land_use","soil_group","storm_drain_type"
61.66,4.81,101.7,29.4,25,"Residential","","GratedInlet"
16.53,4.47,58.6,44.4,50,"Roads","","Manhole"
12.25,3.7,8.6,56.3,25,"Residential","B","CurbInlet"
-3,10.12,157.5,21.4,5,"Commercial","A","Manhole"
62.17,5.87,183.2,21.5,5,"Mixed","A","CurbInlet"
-0.66,4.39,3.8,63.1,25,"Mixed","","Manhole"
-3,8.89,145.1,24.7,10,"Mixed","A","OpenChannel"
18.49,9.5,160.8,35.5,100,"Commercial","A","CurbInlet"
31.36,10.46,53.4,14.5,50,"Roads","A","GratedInlet"
36.68,5.98,88.1,27.6,5,"Roads","C","CurbInlet"
-3,3.36,41.5,81.7,25,"Residential","","GratedInlet"
84.21,7.46,128.8,79.6,5,"Roads","C","CurbInlet"
20.64,5.26,133.1,27.9,5,"Commercial","C","GratedInlet"
1.04,3.46,137.5,56.3,25,"Green","","GratedInlet"
102.05,8.25,15.4,34.5,2,"Commercial","D","CurbInlet"
37.81,3.08,93.6,39.7,2,"Roads","A","GratedInlet"
31.05,6.02,87.5,46.6,25,"Commercial","","Manhole"
101.16,4.45,44.7,20,5,"Commercial","C","Manhole"
10.67,6.76,182.6,23.1,5,"Green","C","GratedInlet"
12.9,7.73,142,36.3,25,"Residential","D","OpenChannel"
59.29,4.78,62.5,46.2,50,"Green","B","GratedInlet"
26.17,6.43,177,38.9,50,"Green","C","CurbInlet"
89.31,6.5,225.4,18.9,25,"Commercial","D","OpenChannel"
14.73,8.38,86.7,49.6,100,"Industrial","","CurbInlet"
55.46,6.32,68.8,23.1,2,"Commercial","A","CurbInlet"
17.21,7.91,97.4,58.4,25,"Roads","C","GratedInlet"
12.08,9.81,57.3,22.4,10,"Roads","D","Manhole"
92.44,6.42,54.3,61.6,25,"Residential","D","OpenChannel"
26.1,9.94,39.1,35.4,5,"Commercial","B","CurbInlet"
95.49,9.55,62,47,2,"Commercial","C","CurbInlet"
-3,5.33,27,17,2,"Roads","","CurbInlet"
93.88,6.28,386.1,14,25,"Residential","B","None"
-0.07,6.49,36.4,49.7,2,"Residential","C","CurbInlet"
31.85,3.21,45.9,14.1,50,"Residential","","GratedInlet"
103.71,3.39,74.8,19.9,10,"Residential","B","Manhole"
17.11,3.76,311.5,47.7,50,"Green","A","OpenChannel"
125.51,2.74,77.9,16,5,"Commercial","C","Manhole"
-2.54,7.82,77,34.5,25,"Commercial","B","GratedInlet"
48.55,4.13,115.5,40.8,2,"Industrial","A","Manhole"
59.97,4.2,44.4,42.7,25,"Residential","B","CurbInlet"
62.55,8.3,414.8,35.4,2,"Commercial","B","OpenChannel"
100.52,6.71,44.5,24.1,2,"Roads","D","GratedInlet"
-1.54,9.22,14.5,80.2,25,"Mixed","B","OpenChannel"
-2.17,7.17,142.2,30.1,5,"Residential","C","GratedInlet"
78.32,7.26,53.9,36.9,10,"Roads","A","Manhole"
49.83,5.88,85.2,37.6,5,"Residential","B","None"
105.09,5.05,30.9,40.1,50,"Residential","D","CurbInlet"
19.36,6.95,6.1,63.8,100,"Commercial","B","CurbInlet"
8.96,7.8,14.2,27.4,5,"Roads","","GratedInlet"
6.73,5.06,94.6,17.7,2,"Residential","B","CurbInlet"
96.59,9.94,18.3,52.5,100,"Roads","A","GratedInlet"
13.72,9.01,128.7,26.4,50,"Roads","D","GratedInlet"
56.75,5.12,167.4,28.2,10,"Green","B","CurbInlet"
78.44,10.44,46.5,54,25,"Roads","C","CurbInlet"
-3,7.13,44.3,29.4,2,"Industrial","C","Manhole"
2.75,6.8,28.7,54.3,50,"Roads","B","GratedInlet"
25.2,6.34,92.7,46,5,"Residential","B","CurbInlet"
24.72,4.87,33.2,24.2,10,"Residential","B","None"
66.65,9.97,5.1,38.8,2,"Industrial","C","GratedInlet"
36.76,8.26,60.6,28.2,2,"Commercial","D","CurbInlet"
3.37,5.23,477.9,86.3,5,"Water","D","GratedInlet"
16.99,2.61,78.5,126.1,25,"Residential","C","CurbInlet"
5.67,9.65,305.2,20.3,2,"Industrial","D","OpenChannel"
11.91,7.31,132.1,48.5,25,"Residential","B","CurbInlet"
87.07,3.1,23.5,52,10,"Residential","C","CurbInlet"
31.27,4.51,44.7,115.2,100,"Informal","A","Manhole"
-2.61,9.14,40.7,105.1,100,"Commercial","","GratedInlet"
43.79,7.06,18.3,14.7,5,"Industrial","D","Manhole"
103.71,7.71,126.2,37.7,5,"Roads","B","Manhole"
-0.69,1.45,8.7,39.4,2,"Green","B","Manhole"
21.23,9.14,56.5,117.7,25,"Commercial","B","OpenChannel"
-3,3.51,43.3,30.9,10,"Residential","","Manhole"
39.43,6.67,101.1,43.3,2,"Roads","A","CurbInlet"
73.98,6.01,193.6,17.9,5,"Water","D","None"
36.84,8.47,19.7,42.7,2,"Industrial","B","Manhole"
14.23,6.48,147.8,53.4,10,"Green","C","Manhole"
10.54,6.31,209.8,74.5,100,"Institutional","C","CurbInlet"
59.71,3.2,386.7,15.8,2,"Residential","B","None"
-3,9.24,47.3,14.7,100,"Commercial","B","CurbInlet"
23.57,8.76,90.5,37.7,25,"Industrial","D","GratedInlet"
51.9,1.61,195.7,17.8,2,"Green","B","CurbInlet"
127.23,7.67,157.3,21.5,5,"Roads","D","OpenChannel"
-2.7,7.92,77.7,55,50,"Commercial","B","Manhole"
43.16,6.43,106.2,27.3,5,"Industrial","B","Manhole"
67.21,4.88,11.6,43.9,50,"Residential","C","CurbInlet"
23.84,7.76,45.4,108.7,25,"Mixed","C","None"
7.68,6.83,231.6,21.8,50,"Residential","","None"
154.29,6.67,174.9,35.7,5,"Water","B","CurbInlet"
27.38,4.9,91.4,37.4,5,"Residential","C","CurbInlet"
207.02,6.97,93.8,30.6,2,"Mixed","B","CurbInlet"
29.67,5.01,101.6,51.7,5,"Roads","A","GratedInlet"
2.67,8.85,1.1,26,10,"Commercial","D","CurbInlet"
50.37,5.98,7.9,26.8,25,"Industrial","D","GratedInlet"
37.21,8.94,38.4,38.8,10,"Roads","B","Manhole"
35.37,8.16,64,42.7,5,"Commercial","C","CurbInlet"
95.61,3.04,96.2,11.4,2,"Residential","D","Manhole"
-1.35,9.63,51.9,106.9,50,"Mixed","","OpenChannel"
69.01,6.3,118.3,53.4,10,"Residential","B","Manhole"
26.83,6.38,333.6,41.1,5,"Green","B","OpenChannel"
46.36,2.73,19.8,30.6,10,"Residential","C","GratedInlet"
71.24,2.6,150.2,26,10,"Residential","D","CurbInlet"
103.54,7.37,95.3,57.1,25,"Residential","B","CurbInlet"
55.41,8.63,84.7,52.2,5,"Industrial","B","CurbInlet"
-0.99,7.1,375.2,53.5,5,"Residential","A","None"
11.23,6.19,27.8,86.9,10,"Industrial","A","CurbInlet"
0.07,6.84,362.4,69.1,50,"Residential","D","OpenChannel"
-3,7.24,14.3,45.8,50,"Residential","C","Manhole"
1.88,4.92,123.2,49.5,5,"Water","","CurbInlet"
62.62,6.43,130.6,15.7,100,"Residential","D","GratedInlet"
-3,3.62,74.9,73.8,10,"Roads","","CurbInlet"
54.95,6.24,97.1,22.9,25,"Residential","B","CurbInlet"
9.7,6.15,13,62.6,10,"Residential","B","GratedInlet"
36.76,3.82,197.1,24.9,10,"Green","A","CurbInlet"
13.22,9.1,26.4,93.5,100,"Industrial","","Manhole"
1.7,6.34,183,50.3,25,"Residential","A","CurbInlet"
11.57,6.76,199.8,44.1,2,"Commercial","A","OpenChannel"
18.66,5.52,59.8,39.1,5,"Residential","A","CurbInlet"
21.62,7.24,79.7,28.5,5,"Roads","","CurbInlet"
26.84,9.3,58.6,32.8,5,"Industrial","B","Manhole"
112.2,3.8,149.5,54.7,100,"Water","A","Manhole"
6.91,10.66,159.4,62.4,10,"Roads","D","CurbInlet"
16.79,3.82,232.1,33.9,2,"Green","C","OpenChannel"
-3,9.61,205.3,18,25,"Industrial","D","OpenChannel"
-3,3.56,2.8,13.4,25,"Residential","C","GratedInlet"
19.69,5.62,118.8,19.2,2,"Commercial","D","Manhole"
31.91,5.82,35.9,49.6,2,"Industrial","D","Manhole"
-3,4.11,23.6,35.8,25,"Residential","C","CurbInlet"
6.38,5.31,244.4,46.7,10,"Green","","OpenChannel"
20.23,2.01,100.5,10.6,5,"Residential","B","GratedInlet"
2.07,4.65,209,110.7,25,"Institutional","D","GratedInlet"
243.25,4.83,183.3,62.8,50,"Informal","A","Manhole"
7.97,5.83,28.1,97.7,10,"Roads","D","OpenChannel"
168.39,7.21,307.6,27.2,2,"Residential","C","None"
77.63,5.44,6.2,33.8,2,"Residential","D","CurbInlet"
75.07,8.82,193.1,42.1,10,"Roads","C","GratedInlet"
54.26,6.3,76.8,26.6,10,"Residential","B","CurbInlet"
34.25,8.48,148.8,39.6,2,"Industrial","D","Manhole"
75.14,6.27,164.4,50.9,5,"Industrial","C","OpenChannel"
42.67,5.03,27.1,86,50,"Commercial","C","Manhole"
83.56,8.94,8.9,24.6,25,"Industrial","B","CurbInlet"
20.29,6.46,393.9,30.8,25,"Water","","None"
63.25,2.23,190,67.7,2,"Residential","B","GratedInlet"
88.33,3.78,110.3,18.6,50,"Roads","A","OpenChannel"
107.33,6,352.4,27,25,"Industrial","A","OpenChannel"
60.87,6.1,327.8,42,5,"Water","B","None"
69.39,5.5,13.1,26.8,2,"Industrial","B","CurbInlet"
20.54,6.69,153.2,42.4,50,"Green","","GratedInlet"
33.61,6.6,95.5,19.6,25,"Residential","D","Manhole"
89.12,5.1,52.3,69.6,50,"Green","A","GratedInlet"
53.12,7.12,71.1,20.3,10,"Residential","D","GratedInlet"
8.5,4.86,10.2,54.5,10,"Residential","B","GratedInlet"
-3,7.73,33.2,20.1,2,"Commercial","D","CurbInlet"
-3,2.19,36.6,52,2,"Residential","","OpenChannel"
116.84,4.78,61.6,10.4,5,"Residential","C","GratedInlet"
5.96,3.81,107.2,28.5,100,"Residential","C","CurbInlet"
20.6,7.82,4.4,39.5,2,"Commercial","B","CurbInlet"
11.8,6.32,127.9,38.9,50,"Industrial","B","Manhole"
63.68,4.01,17.1,48,100,"Commercial","","Manhole"
128.68,4.42,147,41.3,2,"Residential","B","OpenChannel"
18.35,8.04,61.5,34.9,100,"Industrial","D","Manhole"
64.41,4.34,47.7,58.1,5,"Green","D","CurbInlet"
108.92,4.16,57.4,56.2,2,"Green","B","Manhole"
8.81,9.19,43.3,16.1,10,"Roads","D","GratedInlet"
74.78,9.16,367.9,72.2,25,"Commercial","A","OpenChannel"
-3,8.28,336.1,67.2,5,"Residential","B","OpenChannel"
20.47,7.94,106.9,29.3,10,"Roads","C","GratedInlet"
9.08,5.35,1.9,26.3,10,"Residential","B","CurbInlet"
7.06,6.47,160.1,41.3,2,"Roads","B","OpenChannel"
3.33,8.96,131,20.2,5,"Commercial","B","GratedInlet"
6.97,8.47,267.5,33.6,5,"Commercial","D","OpenChannel"
78.21,12.07,50.9,22.2,2,"Roads","C","CurbInlet"
-3,3.14,516.7,38.9,2,"Institutional","A","None"
60.97,2.22,161.8,40.3,2,"Water","D","Manhole"
11.1,5.92,365.1,62.3,10,"Residential","D","None"
-3,8.06,99.7,56.2,5,"Roads","","CurbInlet"
113.79,4.34,337.2,48.6,10,"Green","C","OpenChannel"
72.41,9.71,246.9,11.6,50,"Commercial","D","OpenChannel"
156.8,7.32,40.3,28.8,25,"Residential","A","OpenChannel"
6.54,2.61,334.6,92.7,25,"Green","A","OpenChannel"
67.7,5.97,211.3,42.7,2,"Institutional","D","CurbInlet"
19.88,4.96,102.6,57.9,50,"Commercial","D","CurbInlet"
12.06,10.14,75.9,15.9,10,"Commercial","D","OpenChannel"
87.45,5.72,100.1,35.2,2,"Residential","A","GratedInlet"
-0.62,8.31,131.2,108.5,50,"Mixed","D","GratedInlet"
19.18,6.61,52.3,47.3,25,"Roads","B","Manhole"
92.58,6.91,48.3,81.6,100,"Commercial","A","CurbInlet"
19.04,6.4,83.5,52.9,10,"Residential","C","CurbInlet"
14.37,2.95,81,30.5,5,"Water","A","Manhole"
8.42,10.14,2.7,69.1,50,"Commercial","C","OpenChannel"
64.53,6.31,69,17.2,2,"Industrial","C","CurbInlet"
10.23,5.76,123.4,25.6,10,"Commercial","D","OpenChannel"
-3,5.63,103,44.7,25,"Commercial","C","Manhole"
69.93,7.42,47.3,83.8,10,"Roads","A","Manhole"
9.73,6.65,71.7,67.8,25,"Residential","C","CurbInlet"
21.62,5.36,63.2,76.8,50,"Commercial","B","OpenChannel"
18.23,5.26,306.4,40.2,2,"Residential","A","None"
10.93,5.62,42.2,29.9,5,"Residential","C","CurbInlet"
57.86,8.08,132.6,27,2,"Commercial","B","GratedInlet"
12.38,10.36,6.5,23.2,50,"Industrial","C","OpenChannel"
3.36,5.73,1,23.7,50,"Residential","","GratedInlet"
8,3.84,168.2,15.6,10,"Roads","","GratedInlet"
32.95,8.97,30.4,12.7,50,"Roads","","CurbInlet"
-1.02,2.25,156.9,18.2,100,"Residential","B","CurbInlet"
4.55,8.3,178.1,10.8,2,"Roads","C","OpenChannel"
39.29,8.48,19.6,57.3,10,"Industrial","C","Manhole"
51.59,2.02,79.9,31,2,"Residential","C","Manhole"
32.13,4.18,34.5,30.1,5,"Residential","C","GratedInlet"
6.57,6.32,129.6,143.3,5,"Residential","D","OpenChannel"
12.64,6.57,106.5,22,5,"Green","B","Manhole"
3.57,2.25,161.8,29,10,"Green","D","OpenChannel"
-3,9.57,114.7,67.7,100,"Informal","B","Manhole"
21.74,9.53,62,150,100,"Roads","C","Manhole"
10.35,7.73,88.7,115.5,100,"Roads","B","Manhole"
118.01,5.32,129.2,20.3,100,"Residential","","Manhole"
13.92,8.18,50.5,66,5,"Industrial","C","CurbInlet"
41.29,8.37,140.9,12.6,5,"Industrial","A","CurbInlet"
67,4.23,81.7,27.7,100,"Residential","C","GratedInlet"
57.09,9.02,78.6,57.2,25,"Industrial","C","GratedInlet"
38.53,3.76,131,13.1,2,"Residential","B","Manhole"
109.31,3,26.5,19.5,2,"Residential","B","GratedInlet"
-1.21,6.48,109.8,68.7,5,"Roads","B","GratedInlet"
79.72,5.32,20.4,85.3,5,"Residential","C","CurbInlet"
123.39,6.05,333,81.8,10,"Residential","B","OpenChannel"
-3,6.01,57.9,26.9,25,"Residential","","GratedInlet"
129.25,4.92,360.9,47,5,"Residential","C","OpenChannel"
31.52,2.91,128.1,21.6,2,"Residential","B","GratedInlet"
-0.41,5.39,102.3,35.1,25,"Residential","D","CurbInlet"
2.4,7.9,265.3,62.9,100,"Industrial","","OpenChannel"
24.52,10.45,143.3,29.8,5,"Roads","B","OpenChannel"
107.83,5.29,274.3,67.9,100,"Water","D","Manhole"
9.8,2.05,57.1,20.2,10,"Residential","D","CurbInlet"
31.69,7.35,38.6,61.3,2,"Green","A","None"
65.66,5.97,234.9,54.8,10,"Green","B","OpenChannel"
-3,3.95,100.8,26.6,25,"Residential","D","Manhole"
16.74,8.33,6.9,25.8,2,"Commercial","C","GratedInlet"
9.06,6.32,34,28.8,5,"Residential","B","CurbInlet"
-3,6.84,484.3,47.7,50,"Water","A","OpenChannel"
101.31,8.31,64.8,38.2,10,"Roads","A","CurbInlet"
55.11,2.83,86.6,24.1,5,"Commercial","C","GratedInlet"
64.25,6.75,166.7,27.5,10,"Industrial","C","OpenChannel"
2.16,8.07,79.9,44.8,10,"Industrial","D","Manhole"
72.9,8.73,89.8,30.7,5,"Industrial","B","Manhole"
73.06,5.42,246.3,12.8,10,"Green","A","CurbInlet"
24.81,8.51,158.3,24.4,2,"Residential","D","OpenChannel"
14.16,5.83,101.9,31.1,10,"Roads","B","OpenChannel"
12.76,3.79,84.5,46.9,2,"Commercial","","Manhole"
22.12,7.15,84.2,56.5,25,"Residential","C","Manhole"
20.69,9.87,8.9,37.5,25,"Industrial","B","Manhole"
12.88,7.94,77.7,38.8,2,"Commercial","A","CurbInlet"
-3,3.44,495.5,59.8,5,"Residential","B","None"
65.27,5.95,174.8,39.5,2,"Residential","C","OpenChannel"
14.8,5.16,139.2,55,5,"Water","A","OpenChannel"
35.57,5.33,242.3,49.5,50,"Green","C","CurbInlet"
134.3,3.35,173.2,37.3,2,"Green","","OpenChannel"
50.51,7.88,38,29.9,2,"Commercial","B","CurbInlet"
14.1,2.7,89.7,64,100,"Green","A","OpenChannel"
10.84,7.54,113.4,68.1,50,"Residential","B","Manhole"
88.49,4.21,26.1,52,5,"Residential","A","CurbInlet"
62.33,6.46,64.5,42.4,5,"Roads","A","GratedInlet"
2.33,8.65,82.8,60.6,25,"Roads","D","Manhole"
52.25,5.75,89.6,29.2,25,"Roads","D","CurbInlet"
34.21,8.35,82.7,59.6,10,"Roads","D","GratedInlet"
16.09,3.93,104.1,102.1,25,"Green","C","Manhole"
92.47,7.46,147.9,31.1,50,"Residential","C","Manhole"
111.43,6.47,64.9,29.9,5,"Residential","A","GratedInlet"
57.71,3.94,299.2,33.9,5,"Residential","B","None"
23,5.7,28,32.3,5,"Roads","C","GratedInlet"
33.82,4.67,60.6,48,5,"Green","B","GratedInlet"
78.27,4.97,54.5,25.7,2,"Roads","C","Manhole"
11.59,2.02,350,27.7,2,"Institutional","A","GratedInlet"
31.76,4.36,89.6,43.5,5,"Residential","A","GratedInlet"
73.87,10.3,128.9,30.9,2,"Mixed","","OpenChannel"
3.33,4.56,72,21.4,10,"Residential","B","GratedInlet"
22.08,6.82,445,28.4,2,"Industrial","C","None"
9.83,4.48,44.3,44.3,10,"Residential","A","Manhole"
12.87,5.25,41.2,45.9,25,"Commercial","B","GratedInlet"
65.11,9.53,52.5,27.3,25,"Commercial","A","GratedInlet"
7.78,6.36,304,29.7,5,"Residential","B","OpenChannel"
-0.12,6.72,70.2,88.4,25,"Roads","","CurbInlet"
16.15,6.87,258.5,112.4,25,"Roads","D","OpenChannel"
33.93,2.09,296.4,77.9,25,"Water","","CurbInlet"
32.12,4.69,95.6,9.3,2,"Green","","GratedInlet"
79.28,7.38,51.3,36.3,50,"Roads","A","GratedInlet"
4.01,4.1,155.5,24,10,"Roads","C","OpenChannel"
6.08,9.48,61.6,26.3,5,"Roads","D","GratedInlet"
17.32,6.37,28.9,29.4,10,"Residential","B","CurbInlet"
-3,10.19,105.5,20.1,25,"Mixed","C","OpenChannel"
33.86,7.03,159,24.5,5,"Residential","","None"
59.89,7.19,27.8,20.4,2,"Roads","A","Manhole"
9.84,5.62,68.7,37.5,5,"Industrial","B","GratedInlet"
45.7,10.45,220.6,31,25,"Informal","A","Manhole"
70.48,8.44,111.7,40.9,10,"Roads","D","Manhole"
22.35,5.36,83.8,33.5,5,"Commercial","C","Manhole"
16.15,1.53,199.7,106.4,10,"Water","B","OpenChannel"
52.39,5.16,72.2,21.2,5,"Commercial","C","GratedInlet"
10.38,4.97,51.5,17.9,50,"Roads","D","Manhole"
-3,2.07,286,13.7,25,"Green","D","OpenChannel"
50.67,6.09,96,29.9,50,"Roads","B","CurbInlet"
3.61,7.72,31.3,27.7,25,"Green","C","Manhole"
86.73,7.77,232.6,17.8,25,"Informal","D","CurbInlet"
14.56,2.2,182.8,27.4,10,"Green","C","OpenChannel"
3.14,4.49,160,48.3,10,"Residential","B","CurbInlet"
6.99,9.2,70.8,43.7,10,"Industrial","D","Manhole"
14.89,9.01,14.7,37.9,5,"Industrial","C","OpenChannel"
8.59,4.49,127.9,96.1,25,"Residential","B","GratedInlet"
27.7,4.05,21.9,57.3,50,"Residential","D","CurbInlet"
31.49,7.02,125,59.8,10,"Residential","C","CurbInlet"
85.99,3.62,75.6,22.9,10,"Residential","A","Manhole"
21.13,7.33,112.6,146.9,10,"Residential","D","CurbInlet"
63.17,6.08,108.1,34.7,25,"Green","D","OpenChannel"
7.27,10.09,252.9,27.3,2,"Roads","","None"
49.8,3.45,147.8,54.9,10,"Green","A","CurbInlet"
38.04,6.26,38.2,29.4,10,"Commercial","B","GratedInlet"
-3,7.51,91.6,63.8,10,"Industrial","D","GratedInlet"
48.3,7.43,83.5,30.2,2,"Roads","D","Manhole"
21.27,3.37,36.2,53.1,50,"Residential","B","CurbInlet"
12.77,9.85,137.4,37.9,10,"Roads","B","OpenChannel"
59.31,11.15,478.9,31.4,5,"Roads","D","None"
73.62,7.66,91.6,26.6,100,"Roads","","Manhole"
-3,6.25,96.4,26.8,50,"Roads","A","GratedInlet"
-3,3.76,98.7,59.4,5,"Green","B","Manhole"
3.8,11.85,77.4,74.5,25,"Mixed","A","CurbInlet"
8.87,6.43,48.4,49.4,25,"Roads","C","CurbInlet"
8.8,3.5,133.4,70.1,25,"Institutional","A","Manhole"
59.09,4.44,118.7,24.4,25,"Institutional","","CurbInlet"
110.32,6.22,62.6,38,2,"Commercial","B","Manhole"
112.08,8.62,228.9,41.3,10,"Industrial","B","OpenChannel"
27.81,9.4,91.5,22.5,2,"Roads","A","Manhole"
0.02,6.93,176.7,39.8,2,"Residential","B","CurbInlet"
-3,6.49,176.9,17.5,10,"Water","D","OpenChannel"
29.41,5.25,67,42,2,"Commercial","","CurbInlet"
12.77,4.28,81.8,49.8,50,"Residential","","OpenChannel"
15.77,5.9,61,18.2,5,"Residential","B","CurbInlet"
-3,5.04,59.5,78.2,25,"Roads","D","Manhole"
16.8,9.33,14.9,58.9,50,"Mixed","B","GratedInlet"
28.8,3.62,61,51.9,5,"Residential","B","CurbInlet"
47.43,4.54,115.8,19.5,5,"Roads","B","CurbInlet"
13.76,10.15,154.6,41.1,10,"Industrial","C","OpenChannel"
108.86,9.64,74.1,36.8,5,"Industrial","D","Manhole"
153.53,7.36,249.7,16.9,5,"Roads","","OpenChannel"
47.56,1.83,145.6,29.4,2,"Green","D","Manhole"
29.33,5.04,25,25.1,10,"Residential","A","Manhole"
36.1,4.97,243.2,28.5,10,"Roads","B","OpenChannel"
48.24,4.88,129.2,66.9,50,"Roads","C","Manhole"
15.64,6.2,60,53.8,2,"Industrial","A","Manhole"
7.66,7.59,32.6,44.4,5,"Commercial","D","OpenChannel"
43.27,7.37,33.1,19.6,5,"Industrial","A","GratedInlet"
26.28,5.14,13.6,34.9,5,"Commercial","B","OpenChannel"
38.75,9.66,192.9,51.5,50,"Roads","D","OpenChannel"
20.6,6.07,225.3,35.9,2,"Roads","A","OpenChannel"
18.59,1.81,229.5,47.4,10,"Water","B","GratedInlet"
15.27,7.14,49.1,23.1,10,"Water","C","GratedInlet"
14.61,4.95,162.3,70.9,50,"Residential","B","OpenChannel"
5.29,2.69,21.7,28.3,2,"Residential","A","GratedInlet"
101.53,10.58,135.7,53.9,50,"Commercial","","CurbInlet"
12.51,7.31,69.7,51.8,50,"Residential","C","GratedInlet"
21.92,10.43,363.4,36.9,2,"Commercial","C","OpenChannel"
29.21,2.46,333.8,30.6,50,"Green","","CurbInlet"
-3,6.7,98.9,39.1,5,"Roads","C","CurbInlet"
70.81,7.2,190.2,25,5,"Mixed","A","OpenChannel"
8.71,6.71,91.3,24.4,25,"Commercial","C","GratedInlet"
77.37,10.47,22.5,20.9,10,"Roads","C","CurbInlet"
1.6,8.32,28.9,57.1,2,"Commercial","D","CurbInlet"
19.54,4.78,79,97,2,"Industrial","B","CurbInlet"
70.32,3.82,236.3,26.7,50,"Green","D","OpenChannel"
-3,3.96,54.4,30.2,25,"Residential","D","CurbInlet"
2.99,6.68,105.6,33.9,5,"Residential","D","GratedInlet"
88.89,4.47,65.6,32.1,2,"Commercial","A","CurbInlet"
46.22,8.42,154.1,15,5,"Commercial","C","GratedInlet"
19.87,4.55,57.2,47.5,2,"Commercial","C","Manhole"
14.19,8.52,84.4,60,25,"Roads","B","OpenChannel"
48.77,2.9,102.2,41.1,10,"Residential","D","GratedInlet"
128.63,5.68,93.4,57.9,25,"Residential","C","CurbInlet"
34.79,5.55,507,18.1,2,"Industrial","B","None"
122.69,6.98,33.5,53.1,5,"Residential","C","OpenChannel"
106.75,10.24,23.1,31.2,2,"Industrial","","GratedInlet"
47.72,8.49,22.8,23,2,"Residential","C","GratedInlet"
2.67,11.48,38.5,26.1,10,"Commercial","","GratedInlet"
47.77,3.51,38.3,39.9,5,"Residential","C","Manhole"
17.01,4.27,292,28.6,2,"Green","C","Manhole"
-1.15,5.74,254,74.9,10,"Green","A","CurbInlet"
89.08,3.66,131.1,28,10,"Residential","D","GratedInlet"
101.91,5.03,231.1,36.8,5,"Institutional","C","CurbInlet"
17.48,6.68,409.9,87.2,50,"Industrial","D","OpenChannel"
41.31,5.81,90.8,31.7,2,"Mixed","C","None"
62.75,4.15,61.7,56.2,5,"Residential","B","Manhole"
-3,9.45,49.8,111.8,25,"Roads","C","CurbInlet"
3.67,5.32,69.6,10.1,25,"Roads","C","CurbInlet"
11.63,10.28,274.9,77.8,25,"Industrial","","OpenChannel"
8.8,4.68,88.8,59,100,"Roads","C","GratedInlet"
13.4,3.49,61.9,150,100,"Residential","C","GratedInlet"
27.26,3.83,126,48,10,"Residential","A","OpenChannel"
54.09,8.38,409.6,30,25,"Industrial","D","OpenChannel"
41.42,4.2,139.8,31.8,50,"Green","C","GratedInlet"
22.61,9.35,27.3,22.8,2,"Industrial","C","GratedInlet"
83.99,9.59,47.6,58,10,"Commercial","B","CurbInlet"
100.83,4.28,74.7,38.2,10,"Commercial","B","Manhole"
38.38,7.45,34.5,42.1,25,"Commercial","C","OpenChannel"
85.38,2.25,174.5,57,2,"Green","","Manhole"
50.24,5.67,48,18.2,5,"Residential","D","GratedInlet"
76.8,6.57,36.1,62.2,2,"Industrial","D","CurbInlet"
-3,8.54,115,32.6,5,"Industrial","","CurbInlet"
-3,2.67,292.1,39.5,10,"Green","D","CurbInlet"
-3,3.75,150.4,24.7,25,"Residential","A","CurbInlet"
-0.71,6.84,92.2,34.9,5,"Industrial","D","Manhole"
202.72,7.12,162.6,35,2,"Industrial","D","None"
19.45,7.08,130.4,65.6,10,"Residential","A","CurbInlet"
10.88,8.17,147.3,70.5,100,"Green","B","CurbInlet"
81.43,3.79,30.3,20.4,10,"Mixed","B","Manhole"
230.96,4.31,170.9,34.4,5,"Residential","C","Manhole"
-3,6,122.6,18.2,2,"Mixed","A","Manhole"
8.06,8.28,114.2,40.6,2,"Roads","A","OpenChannel"
13.38,5.17,97.1,61.7,5,"Residential","","Manhole"
7.89,7.01,162.5,53.8,10,"Water","B","OpenChannel"
50.63,5.2,96.8,38.2,5,"Residential","B","CurbInlet"
3.53,4.43,33.8,62.4,10,"Roads","A","Manhole"
-3,11.16,79.2,24.6,50,"Commercial","C","Manhole"
16.21,8.98,92.5,17.2,10,"Roads","B","CurbInlet"
19.23,3.93,28.7,93.6,50,"Roads","A","GratedInlet"
48.6,7.27,60.5,54.8,2,"Green","B","OpenChannel"
31.08,10.01,79.1,14.6,2,"Roads","C","Manhole"
86.14,5.06,207.1,37.8,2,"Industrial","B","None"
-3,5.87,26.6,49.7,50,"Roads","A","None"
0.54,1.54,255.5,23.1,50,"Green","B","GratedInlet"
52.24,5.86,80.8,35.8,5,"Institutional","","Manhole"
-3,9.75,82.6,49.7,10,"Commercial","D","GratedInlet"
10.05,3.9,523.1,103.8,25,"Green","D","CurbInlet"
58,8.37,52.6,51,2,"Mixed","C","GratedInlet"
38.1,8.24,17.4,30.7,25,"Roads","A","Manhole"
9.42,10.36,121.9,28.2,10,"Roads","B","CurbInlet"
26.84,5.28,110.4,28.4,25,"Roads","A","GratedInlet"
8.49,4.15,40.7,16.9,50,"Industrial","","GratedInlet"
27.18,6.11,7.1,59.8,10,"Roads","D","Manhole"
-3,4.33,215.2,13.6,10,"Residential","A","None"
21.61,5.48,47.4,30.4,2,"Roads","B","CurbInlet"
4.43,3.18,164.7,43.9,10,"Commercial","A","CurbInlet"
6.17,5.72,128.2,95.8,25,"Residential","B","CurbInlet"
